yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,total_player_salaries,med_player_salary,min_player_salary,max_player_salary,salary_var,Salary Rank,Threshold,over_threshold,times_over_threshold
1986,NL,MON,WSN,E,4,161,80.0,78,83,N,,N,N,637,5508,1401,255,50,110,537,1016.0,193.0,95.0,,,688,616,3.78,15,9,50,4398,1350,119,566,1051,133,132.0,0.97,Montreal Expos,Stade Olympique,1128981.0,100,100,MON,MON,MON,11103600,165000.0,60000,1515000,137611659838.7097,15,0.0,0,0
1986,AL,NYA,NYY,E,2,162,80.0,90,72,N,,N,N,797,5570,1512,275,23,188,645,911.0,139.0,48.0,,,738,659,4.11,13,8,58,4329,1461,175,492,878,127,153.0,0.97,New York Yankees,Yankee Stadium II,2268030.0,99,98,NYY,NYA,NYA,18494253,687500.0,60000,1886714,234479582229.4431,1,0.0,0,0
1986,NL,NYN,NYM,E,1,162,81.0,108,54,Y,,Y,Y,783,5558,1462,261,31,148,631,968.0,118.0,48.0,,,578,513,3.11,27,11,46,4452,1304,103,509,1083,138,145.0,0.97,New York Mets,Shea Stadium,2767601.0,98,96,NYM,NYN,NYN,15393714,255000.0,60000,2800000,458944432540.3332,4,0.0,0,0
1986,AL,OAK,OAK,W,3,162,83.0,76,86,N,,N,N,731,5435,1370,213,25,163,553,983.0,139.0,61.0,,,760,686,4.31,22,8,37,4299,1334,166,667,937,135,120.0,0.97,Oakland Athletics,Oakland Coliseum,1314646.0,92,92,OAK,OAK,OAK,9779421,183700.0,60000,1233333,113408523598.4946,21,0.0,0,0
1986,NL,PHI,PHI,E,2,161,80.0,86,75,N,,N,N,739,5483,1386,266,39,154,589,1154.0,153.0,59.0,,,713,621,3.85,22,11,39,4353,1473,130,553,874,137,157.0,0.97,Philadelphia Phillies,Veterans Stadium,1933335.0,104,104,PHI,PHI,PHI,11590166,240000.0,60000,2136666,185429256779.2258,13,0.0,0,0
1986,NL,PIT,PIT,E,6,162,81.0,64,98,N,,N,N,663,5456,1366,273,33,111,569,929.0,152.0,84.0,,,700,628,3.9,17,9,30,4350,1397,138,570,924,142,134.0,0.97,Pittsburgh Pirates,Three Rivers Stadium,1000917.0,102,103,PIT,PIT,PIT,10843500,175000.0,60000,1825000,180435144088.66995,16,0.0,0,0
1986,NL,SDN,SDP,W,4,162,81.0,74,88,N,,N,N,656,5515,1442,239,25,136,484,917.0,96.0,68.0,,,723,640,3.99,13,7,32,4329,1406,150,607,934,135,135.0,0.97,San Diego Padres,Jack Murphy Stadium,1805716.0,98,98,SDP,SDN,SDN,11380693,300000.0,60000,1250000,143943862538.87665,14,0.0,0,0
1986,AL,SEA,SEA,W,7,162,82.0,67,95,N,,N,N,718,5498,1392,243,41,158,572,1148.0,93.0,76.0,,,835,743,4.65,33,5,27,4317,1590,171,585,944,156,191.0,0.97,Seattle Mariners,Kingdome,1029045.0,100,101,SEA,SEA,SEA,5958309,178750.0,60000,600000,26899371373.88461,26,0.0,0,0
1986,NL,SFN,SFG,W,3,162,81.0,83,79,N,,N,N,698,5501,1394,269,29,114,536,1087.0,148.0,93.0,,,618,540,3.33,18,10,35,4380,1264,121,591,992,143,149.0,0.97,San Francisco Giants,Candlestick Park,1528748.0,95,95,SFG,SFN,SFN,8947000,250000.0,60000,900000,65190609788.359795,22,0.0,0,0
1986,NL,SLN,STL,E,3,161,81.0,79,82,N,,N,N,601,5378,1270,216,48,58,568,905.0,262.0,78.0,,,611,549,3.37,17,4,46,4398,1364,135,485,761,123,178.0,0.98,St. Louis Cardinals,Busch Stadium II,2471974.0,100,99,STL,SLN,SLN,9875010,190000.0,60000,1940000,194572912461.33334,19,0.0,0,0
1986,AL,TEX,TEX,W,2,162,81.0,87,75,N,,N,N,771,5529,1479,248,43,184,511,1088.0,103.0,85.0,,,743,662,4.11,15,8,41,4350,1356,145,736,1059,120,160.0,0.98,Texas Rangers,Arlington Stadium,1692002.0,102,103,TEX,TEX,TEX,6743119,163750.0,60000,865000,59481022913.88462,25,0.0,0,0
1986,AL,TOR,TOR,E,4,163,81.0,86,76,N,,N,N,809,5716,1540,285,35,181,496,848.0,110.0,59.0,,,733,669,4.08,16,12,44,4428,1467,164,487,1002,100,150.0,0.98,Toronto Blue Jays,Exhibition Stadium,2455477.0,103,102,TOR,TOR,TOR,12611047,347096.0,60000,1533333,135105108076.15668,10,0.0,0,0
1987,NL,ATL,ATL,W,5,161,81.0,69,92,N,,N,N,747,5428,1401,284,24,152,641,834.0,135.0,68.0,,,829,734,4.63,16,4,32,4281,1529,163,587,837,116,170.0,0.98,Atlanta Braves,Atlanta-Fulton County Stadium,1217402.0,104,106,ATL,ATL,ATL,16544560,440000.0,62500,1925000,210936772646.9032,2,0.0,0,0
1987,AL,BAL,BAL,E,6,162,82.0,67,95,N,,N,N,729,5576,1437,219,20,211,524,939.0,69.0,45.0,,,880,801,5.01,17,6,30,4317,1555,226,547,870,109,174.0,0.98,Baltimore Orioles,Memorial Stadium,1835692.0,97,98,BAL,BAL,BAL,13900273,303750.0,62500,2044757,235697765637.4954,4,0.0,0,0
1987,AL,BOS,BOS,E,5,162,80.0,78,84,N,,N,N,842,5586,1554,273,26,174,606,825.0,77.0,45.0,,,825,761,4.77,47,13,16,4308,1584,190,517,1034,110,158.0,0.98,Boston Red Sox,Fenway Park II,2231551.0,103,102,BOS,BOS,BOS,10144167,550000.0,62500,2110000,348927749806.8857,17,0.0,0,0
1987,AL,CAL,ANA,W,6,162,81.0,75,87,N,,N,N,770,5570,1406,257,26,172,590,926.0,125.0,44.0,,,803,709,4.38,20,7,36,4371,1481,212,504,941,117,162.0,0.98,California Angels,Anaheim Stadium,2696299.0,97,97,CAL,CAL,CAL,12843499,450000.0,62500,1133333,150854703388.90027,7,0.0,0,0
1987,AL,CHA,CHW,W,5,162,81.0,77,85,N,,N,N,748,5538,1427,283,36,173,487,971.0,138.0,52.0,,,746,691,4.3,29,12,37,4341,1436,189,537,792,115,174.0,0.98,Chicago White Sox,Comiskey Park,1208060.0,103,103,CHW,CHA,CHA,10641843,337500.0,62500,1250000,132028380729.94022,15,0.0,0,0
1987,NL,CHN,CHC,E,6,161,80.0,76,85,N,,N,N,720,5583,1475,244,33,209,504,1064.0,109.0,48.0,,,801,725,4.55,11,5,48,4302,1524,159,628,1024,130,154.0,0.97,Chicago Cubs,Wrigley Field,2035130.0,103,104,CHC,CHN,CHN,14307999,625000.0,62500,1800000,220002043740.87543,3,0.0,0,0
1987,NL,CIN,CIN,W,2,162,81.0,84,78,N,,N,N,783,5560,1478,262,29,192,514,928.0,169.0,46.0,,,752,684,4.24,7,6,44,4356,1486,170,485,919,128,137.0,0.97,Cincinnati Reds,Riverfront Stadium,2185205.0,104,103,CIN,CIN,CIN,9281500,256250.0,62500,1200000,124860609615.38461,18,0.0,0,0
1987,AL,CLE,CLE,E,7,162,81.0,61,101,N,,N,N,742,5606,1476,267,30,187,489,977.0,140.0,54.0,,,957,834,5.28,24,8,25,4266,1566,219,606,849,152,128.0,0.97,Cleveland Indians,Cleveland Stadium,1077898.0,100,101,CLE,CLE,CLE,8513750,211250.0,62500,1100000,80254701967.59259,19,0.0,0,0
1987,AL,DET,DET,E,1,162,81.0,98,64,Y,,N,N,896,5649,1535,274,32,225,653,913.0,106.0,50.0,,,735,650,4.02,33,10,31,4368,1430,180,563,976,122,147.0,0.98,Detroit Tigers,Tiger Stadium,2061830.0,96,95,DET,DET,DET,12122881,420000.0,62500,1850000,193632406615.7233,9,0.0,0,0
1987,NL,HOU,HOU,W,3,162,81.0,76,86,N,,N,N,648,5485,1386,238,28,122,526,936.0,162.0,46.0,,,678,615,3.84,13,13,33,4323,1363,141,525,1137,115,113.0,0.98,Houston Astros,Astrodome,1909902.0,96,96,HOU,HOU,HOU,12608371,500000.0,62500,1225000,112249495056.18385,8,0.0,0,0
1987,AL,KCA,KCR,W,2,162,81.0,83,79,N,,N,N,715,5499,1443,239,40,168,523,1034.0,125.0,43.0,,,691,611,3.86,44,11,26,4272,1424,128,548,923,131,151.0,0.97,Kansas City Royals,Royals Stadium,2392471.0,102,102,KCR,KCA,KCA,11828056,225000.0,62500,2055000,245734022168.28485,10,0.0,0,0
